Year,Award,Winner,Name,Film
1946,ACTOR IN A LEADING ROLE,0,GREGORY PECK,THE YEARLING
1945,ACTOR IN A LEADING ROLE,0,GREGORY PECK,THE KEYS OF THE KINGDOM
1939,ACTRESS IN A LEADING ROLE,0,GRETA GARBO,NINOTCHKA
1937,ACTRESS IN A LEADING ROLE,0,GRETA GARBO,CAMILLE
1930,ACTRESS IN A LEADING ROLE,0,GRETA GARBO,ANNA CHRISTIE
1998,ACTRESS IN A LEADING ROLE,1,GWYNETH PALTROW,SHAKESPEARE IN LOVE
1937,ACTOR IN A SUPPORTING ROLE,0,H. B. WARNER,LOST HORIZON
2010,ACTRESS IN A SUPPORTING ROLE,0,HAILEE STEINFELD,TRUE GRIT
1984,ACTOR IN A SUPPORTING ROLE,1,HAING S. NGOR,THE KILLING FIELDS
2007,ACTOR IN A SUPPORTING ROLE,0,HAL HOLBROOK,INTO THE WILD
1999,ACTOR IN A SUPPORTING ROLE,0,HALEY JOEL OSMENT,THE SIXTH SENSE
2001,ACTRESS IN A LEADING ROLE,1,HALLE BERRY,MONSTER'S BALL
1946,ACTOR IN A SUPPORTING ROLE,1,HAROLD RUSSELL,THE BEST YEARS OF OUR LIVES
1985,ACTOR IN A LEADING ROLE,0,HARRISON FORD,WITNESS
1939,ACTOR IN A SUPPORTING ROLE,0,HARRY CAREY,MR. SMITH GOES TO WASHINGTON
1991,ACTOR IN A SUPPORTING ROLE,0,HARVEY KEITEL,BUGSY
1939,ACTRESS IN A SUPPORTING ROLE,1,HATTIE MCDANIEL,GONE WITH THE WIND
2008,ACTOR IN A SUPPORTING ROLE,1,HEATH LEDGER,THE DARK KNIGHT
2005,ACTOR IN A LEADING ROLE,0,HEATH LEDGER,BROKEBACK MOUNTAIN
1970,ACTRESS IN A SUPPORTING ROLE,1,HELEN HAYES,AIRPORT
1932,ACTRESS IN A LEADING ROLE,1,HELEN HAYES,THE SIN OF MADELON CLAUDET
2012,ACTRESS IN A SUPPORTING ROLE,0,HELEN HUNT,THE SESSIONS
1997,ACTRESS IN A LEADING ROLE,1,HELEN HUNT,AS GOOD AS IT GETS
2009,ACTRESS IN A LEADING ROLE,0,HELEN MIRREN,THE LAST STATION
2006,ACTRESS IN A LEADING ROLE,1,HELEN MIRREN,THE QUEEN
2001,ACTRESS IN A SUPPORTING ROLE,0,HELEN MIRREN,GOSFORD PARK
1994,ACTRESS IN A SUPPORTING ROLE,0,HELEN MIRREN,THE MADNESS OF KING GEORGE
2010,ACTRESS IN A SUPPORTING ROLE,0,HELENA BONHAM CARTER,THE KING'S SPEECH
1997,ACTRESS IN A LEADING ROLE,0,HELENA BONHAM CARTER,THE WINGS OF THE DOVE
1981,ACTOR IN A LEADING ROLE,1,HENRY FONDA,ON GOLDEN POND
1940,ACTOR IN A LEADING ROLE,0,HENRY FONDA,THE GRAPES OF WRATH
1942,ACTOR IN A SUPPORTING ROLE,0,HENRY TRAVERS,MRS. MINIVER
1959,ACTRESS IN A SUPPORTING ROLE,0,HERMIONE BADDELEY,ROOM AT THE TOP
2004,ACTRESS IN A LEADING ROLE,1,HILARY SWANK,MILLION DOLLAR BABY
1999,ACTRESS IN A LEADING ROLE,1,HILARY SWANK,BOYS DON'T CRY
2003,ACTRESS IN A SUPPORTING ROLE,0,HOLLY HUNTER,THIRTEEN
1993,ACTRESS IN A SUPPORTING ROLE,0,HOLLY HUNTER,THE FIRM
1993,ACTRESS IN A LEADING ROLE,1,HOLLY HUNTER,THE PIANO
1987,ACTRESS IN A LEADING ROLE,0,HOLLY HUNTER,BROADCAST NEWS
1950,ACTRESS IN A SUPPORTING ROLE,0,HOPE EMERSON,CAGED
1957,ACTRESS IN A SUPPORTING ROLE,0,HOPE LANGE,PEYTON PLACE
1963,ACTOR IN A SUPPORTING ROLE,0,HUGH GRIFFITH,TOM JONES
1959,ACTOR IN A SUPPORTING ROLE,1,HUGH GRIFFITH,BEN-HUR
2012,ACTOR IN A LEADING ROLE,0,HUGH JACKMAN,LES MISí©RABLES
1944,ACTOR IN A SUPPORTING ROLE,0,HUME CRONYN,THE SEVENTH CROSS
1954,ACTOR IN A LEADING ROLE,0,HUMPHREY BOGART,THE CAINE MUTINY
1951,ACTOR IN A LEADING ROLE,1,HUMPHREY BOGART,THE AFRICAN QUEEN
1943,ACTOR IN A LEADING ROLE,0,HUMPHREY BOGART,CASABLANCA
1965,ACTOR IN A SUPPORTING ROLE,0,IAN BANNEN,THE FLIGHT OF THE PHOENIX
1981,ACTOR IN A SUPPORTING ROLE,0,IAN HOLM,CHARIOTS OF FIRE
2001,ACTOR IN A SUPPORTING ROLE,0,IAN MCKELLEN,THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING
1998,ACTOR IN A LEADING ROLE,0,IAN MCKELLEN,GODS AND MONSTERS
1966,ACTRESS IN A LEADING ROLE,0,IDA KAMINSKA,THE SHOP ON MAIN STREET
2004,ACTRESS IN A LEADING ROLE,0,IMELDA STAUNTON,VERA DRAKE
1978,ACTRESS IN A LEADING ROLE,0,INGRID BERGMAN,AUTUMN SONATA
1974,ACTRESS IN A SUPPORTING ROLE,1,INGRID BERGMAN,MURDER ON THE ORIENT EXPRESS
1956,ACTRESS IN A LEADING ROLE,1,INGRID BERGMAN,ANASTASIA
1948,ACTRESS IN A LEADING ROLE,0,INGRID BERGMAN,JOAN OF ARC
1945,ACTRESS IN A LEADING ROLE,0,INGRID BERGMAN,THE BELLS OF ST. MARY'S
1944,ACTRESS IN A LEADING ROLE,1,INGRID BERGMAN,GASLIGHT
1943,ACTRESS IN A LEADING ROLE,0,INGRID BERGMAN,FOR WHOM THE BELL TOLLS
1948,ACTRESS IN A LEADING ROLE,0,IRENE DUNNE,I REMEMBER MAMA
1939,ACTRESS IN A LEADING ROLE,0,IRENE DUNNE,LOVE AFFAIR
1937,ACTRESS IN A LEADING ROLE,0,IRENE DUNNE,THE AWFUL TRUTH
1936,ACTRESS IN A LEADING ROLE,0,IRENE DUNNE,THEODORA GOES WILD
1931,ACTRESS IN A LEADING ROLE,0,IRENE DUNNE,CIMARRON
1989,ACTRESS IN A LEADING ROLE,0,ISABELLE ADJANI,CAMILLE CLAUDEL
1975,ACTRESS IN A LEADING ROLE,0,ISABELLE ADJANI,THE STORY OF ADELE H.
2016,ACTRESS IN A LEADING ROLE,0,ISABELLE HUPPERT,ELLE
1945,ACTOR IN A SUPPORTING ROLE,0,J. CARROL NAISH,A MEDAL FOR BENNY
1943,ACTOR IN A SUPPORTING ROLE,0,J. CARROL NAISH,SAHARA
2014,ACTOR IN A SUPPORTING ROLE,1,J.K. SIMMONS,WHIPLASH
1968,ACTOR IN A SUPPORTING ROLE,1,JACK ALBERTSON,THE SUBJECT WAS ROSES
1973,ACTOR IN A SUPPORTING ROLE,0,JACK GILFORD,SAVE THE TIGER
1960,ACTOR IN A SUPPORTING ROLE,0,JACK KRUSCHEN,THE APARTMENT
1982,ACTOR IN A LEADING ROLE,0,JACK LEMMON,MISSING
1980,ACTOR IN A LEADING ROLE,0,JACK LEMMON,TRIBUTE
1979,ACTOR IN A LEADING ROLE,0,JACK LEMMON,THE CHINA SYNDROME
1973,ACTOR IN A LEADING ROLE,1,JACK LEMMON,SAVE THE TIGER
1962,ACTOR IN A LEADING ROLE,0,JACK LEMMON,DAYS OF WINE AND ROSES
1960,ACTOR IN A LEADING ROLE,0,JACK LEMMON,THE APARTMENT
1959,ACTOR IN A LEADING ROLE,0,JACK LEMMON,SOME LIKE IT HOT
1955,ACTOR IN A SUPPORTING ROLE,1,JACK LEMMON,MISTER ROBERTS
2002,ACTOR IN A LEADING ROLE,0,JACK NICHOLSON,ABOUT SCHMIDT
1997,ACTOR IN A LEADING ROLE,1,JACK NICHOLSON,AS GOOD AS IT GETS
1992,ACTOR IN A SUPPORTING ROLE,0,JACK NICHOLSON,A FEW GOOD MEN
1987,ACTOR IN A LEADING ROLE,0,JACK NICHOLSON,IRONWEED
1985,ACTOR IN A LEADING ROLE,0,JACK NICHOLSON,PRIZZI'S HONOR
1983,ACTOR IN A SUPPORTING ROLE,1,JACK NICHOLSON,TERMS OF ENDEARMENT
1981,ACTOR IN A SUPPORTING ROLE,0,JACK NICHOLSON,REDS
1975,ACTOR IN A LEADING ROLE,1,JACK NICHOLSON,ONE FLEW OVER THE CUCKOO'S NEST
1974,ACTOR IN A LEADING ROLE,0,JACK NICHOLSON,CHINATOWN
1973,ACTOR IN A LEADING ROLE,0,JACK NICHOLSON,THE LAST DETAIL
1970,ACTOR IN A LEADING ROLE,0,JACK NICHOLSON,FIVE EASY PIECES
1969,ACTOR IN A SUPPORTING ROLE,0,JACK NICHOLSON,EASY RIDER
1940,ACTOR IN A SUPPORTING ROLE,0,JACK OAKIE,THE GREAT DICTATOR
1991,ACTOR IN A SUPPORTING ROLE,1,JACK PALANCE,CITY SLICKERS
1953,ACTOR IN A SUPPORTING ROLE,0,JACK PALANCE,SHANE
1952,ACTOR IN A SUPPORTING ROLE,0,JACK PALANCE,SUDDEN FEAR
1978,ACTOR IN A SUPPORTING ROLE,0,JACK WARDEN,HEAVEN CAN WAIT
1975,ACTOR IN A SUPPORTING ROLE,0,JACK WARDEN,SHAMPOO
1968,ACTOR IN A SUPPORTING ROLE,0,JACK WILD,OLIVER!
2012,ACTRESS IN A SUPPORTING ROLE,0,JACKI WEAVER,SILVER LININGS PLAYBOOK
2010,ACTRESS IN A SUPPORTING ROLE,0,JACKI WEAVER,ANIMAL KINGDOM
1931,ACTOR IN A LEADING ROLE,0,JACKIE COOPER,SKIPPY
2006,ACTOR IN A SUPPORTING ROLE,0,JACKIE EARLE HALEY,LITTLE CHILDREN
1961,ACTOR IN A SUPPORTING ROLE,0,JACKIE GLEASON,THE HUSTLER
2005,ACTOR IN A SUPPORTING ROLE,0,JAKE GYLLENHAAL,BROKEBACK MOUNTAIN
1972,ACTOR IN A SUPPORTING ROLE,0,JAMES CAAN,THE GODFATHER
1955,ACTOR IN A LEADING ROLE,0,JAMES CAGNEY,LOVE ME OR LEAVE ME
1942,ACTOR IN A LEADING ROLE,1,JAMES CAGNEY,YANKEE DOODLE DANDY
1938,ACTOR IN A LEADING ROLE,0,JAMES CAGNEY,ANGELS WITH DIRTY FACES
1998,ACTOR IN A SUPPORTING ROLE,1,JAMES COBURN,AFFLICTION
1981,ACTOR IN A SUPPORTING ROLE,0,JAMES COCO,ONLY WHEN I LAUGH
1995,ACTOR IN A SUPPORTING ROLE,0,JAMES CROMWELL,BABE
1956,ACTOR IN A LEADING ROLE,0,JAMES DEAN,GIANT
1955,ACTOR IN A LEADING ROLE,0,JAMES DEAN,EAST OF EDEN
1945,ACTOR IN A SUPPORTING ROLE,1,JAMES DUNN,A TREE GROWS IN BROOKLYN
1970,ACTOR IN A LEADING ROLE,0,JAMES EARL JONES,THE GREAT WHITE HOPE
2010,ACTOR IN A LEADING ROLE,0,JAMES FRANCO,127 HOURS
1985,ACTOR IN A LEADING ROLE,0,JAMES GARNER,MURPHY'S ROMANCE
1941,ACTOR IN A SUPPORTING ROLE,0,JAMES GLEASON,HERE COMES MR. JORDAN
1982,ACTOR IN A SUPPORTING ROLE,0,JAMES MASON,THE VERDICT
1966,ACTOR IN A SUPPORTING ROLE,0,JAMES MASON,GEORGY GIRL
1954,ACTOR IN A LEADING ROLE,0,JAMES MASON,A STAR IS BORN
1940,ACTOR IN A SUPPORTING ROLE,0,JAMES STEPHENSON,THE LETTER
1959,ACTOR IN A LEADING ROLE,0,JAMES STEWART,ANATOMY OF A MURDER
1950,ACTOR IN A LEADING ROLE,0,JAMES STEWART,HARVEY
1946,ACTOR IN A LEADING ROLE,0,JAMES STEWART,IT'S A WONDERFUL LIFE
1940,ACTOR IN A LEADING ROLE,1,JAMES STEWART,THE PHILADELPHIA STORY
1939,ACTOR IN A LEADING ROLE,0,JAMES STEWART,MR. SMITH GOES TO WASHINGTON
1975,ACTOR IN A LEADING ROLE,0,JAMES WHITMORE,"GIVE 'EM HELL, HARRY!"
1949,ACTOR IN A SUPPORTING ROLE,0,JAMES WHITMORE,BATTLEGROUND
1996,ACTOR IN A SUPPORTING ROLE,0,JAMES WOODS,GHOSTS OF MISSISSIPPI
1986,ACTOR IN A LEADING ROLE,0,JAMES WOODS,SALVADOR
2004,ACTOR IN A SUPPORTING ROLE,0,JAMIE FOXX,COLLATERAL
2004,ACTOR IN A LEADING ROLE,1,JAMIE FOXX,RAY
1954,ACTRESS IN A SUPPORTING ROLE,0,JAN STERLING,THE HIGH AND THE MIGHTY
1983,ACTRESS IN A LEADING ROLE,0,JANE ALEXANDER,TESTAMENT
1979,ACTRESS IN A SUPPORTING ROLE,0,JANE ALEXANDER,KRAMER VS. KRAMER
1976,ACTRESS IN A SUPPORTING ROLE,0,JANE ALEXANDER,ALL THE PRESIDENT'S MEN
1970,ACTRESS IN A LEADING ROLE,0,JANE ALEXANDER,THE GREAT WHITE HOPE
1940,ACTRESS IN A SUPPORTING ROLE,1,JANE DARWELL,THE GRAPES OF WRATH
1986,ACTRESS IN A LEADING ROLE,0,JANE FONDA,THE MORNING AFTER
1981,ACTRESS IN A SUPPORTING ROLE,0,JANE FONDA,ON GOLDEN POND
1979,ACTRESS IN A LEADING ROLE,0,JANE FONDA,THE CHINA SYNDROME
1978,ACTRESS IN A LEADING ROLE,1,JANE FONDA,COMING HOME
1977,ACTRESS IN A LEADING ROLE,0,JANE FONDA,JULIA
1971,ACTRESS IN A LEADING ROLE,1,JANE FONDA,KLUTE
1969,ACTRESS IN A LEADING ROLE,0,JANE FONDA,"THEY SHOOT HORSES, DON'T THEY?"
1954,ACTRESS IN A LEADING ROLE,0,JANE WYMAN,MAGNIFICENT OBSESSION
1951,ACTRESS IN A LEADING ROLE,0,JANE WYMAN,THE BLUE VEIL
1948,ACTRESS IN A LEADING ROLE,1,JANE WYMAN,JOHNNY BELINDA
1946,ACTRESS IN A LEADING ROLE,0,JANE WYMAN,THE YEARLING
1937,ACTRESS IN A LEADING ROLE,0,JANET GAYNOR,A STAR IS BORN
1928,ACTRESS IN A LEADING ROLE,1,JANET GAYNOR,7TH HEAVEN
1960,ACTRESS IN A SUPPORTING ROLE,0,JANET LEIGH,PSYCHO
2011,ACTRESS IN A SUPPORTING ROLE,0,JANET MCTEER,ALBERT NOBBS
1999,ACTRESS IN A LEADING ROLE,0,JANET MCTEER,TUMBLEWEEDS
1971,ACTRESS IN A LEADING ROLE,0,JANET SUZMAN,NICHOLAS AND ALEXANDRA
2013,ACTOR IN A SUPPORTING ROLE,1,JARED LETO,DALLAS BUYERS CLUB
1973,ACTOR IN A SUPPORTING ROLE,0,JASON MILLER,THE EXORCIST
1980,ACTOR IN A SUPPORTING ROLE,0,JASON ROBARDS,MELVIN AND HOWARD
1977,ACTOR IN A SUPPORTING ROLE,1,JASON ROBARDS,JULIA
1976,ACTOR IN A SUPPORTING ROLE,1,JASON ROBARDS,ALL THE PRESIDENT'S MEN
2010,ACTOR IN A LEADING ROLE,0,JAVIER BARDEM,BIUTIFUL
2007,ACTOR IN A SUPPORTING ROLE,1,JAVIER BARDEM,NO COUNTRY FOR OLD MEN
2000,ACTOR IN A LEADING ROLE,0,JAVIER BARDEM,BEFORE NIGHT FALLS
1992,ACTOR IN A SUPPORTING ROLE,0,JAYE DAVIDSON,THE CRYING GAME
1943,ACTRESS IN A LEADING ROLE,0,JEAN ARTHUR,THE MORE THE MERRIER
2011,ACTOR IN A LEADING ROLE,1,JEAN DUJARDIN,THE ARTIST
1952,ACTRESS IN A SUPPORTING ROLE,0,JEAN HAGEN,SINGIN' IN THE RAIN
1969,ACTRESS IN A LEADING ROLE,0,JEAN SIMMONS,THE HAPPY ENDING
1948,ACTRESS IN A SUPPORTING ROLE,0,JEAN SIMMONS,HAMLET
1949,ACTRESS IN A LEADING ROLE,0,JEANNE CRAIN,PINKY
1929,ACTRESS IN A LEADING ROLE,0,JEANNE EAGELS,THE LETTER
1972,ACTRESS IN A SUPPORTING ROLE,0,JEANNIE BERLIN,THE HEARTBREAK KID
2016,ACTOR IN A SUPPORTING ROLE,0,JEFF BRIDGES,HELL OR HIGH WATER
2010,ACTOR IN A LEADING ROLE,0,JEFF BRIDGES,TRUE GRIT
2009,ACTOR IN A LEADING ROLE,1,JEFF BRIDGES,CRAZY HEART
2000,ACTOR IN A SUPPORTING ROLE,0,JEFF BRIDGES,THE CONTENDER
1984,ACTOR IN A LEADING ROLE,0,JEFF BRIDGES,STARMAN
1974,ACTOR IN A SUPPORTING ROLE,0,JEFF BRIDGES,THUNDERBOLT AND LIGHTFOOT
1971,ACTOR IN A SUPPORTING ROLE,0,JEFF BRIDGES,THE LAST PICTURE SHOW
1950,ACTOR IN A SUPPORTING ROLE,0,JEFF CHANDLER,BROKEN ARROW
2001,ACTRESS IN A SUPPORTING ROLE,1,JENNIFER CONNELLY,A BEAUTIFUL MIND
2006,ACTRESS IN A SUPPORTING ROLE,1,JENNIFER HUDSON,DREAMGIRLS
2015,ACTRESS IN A SUPPORTING ROLE,0,JENNIFER JASON LEIGH,THE HATEFUL EIGHT
1955,ACTRESS IN A LEADING ROLE,0,JENNIFER JONES,LOVE IS A MANY-SPLENDORED THING
1946,ACTRESS IN A LEADING ROLE,0,JENNIFER JONES,DUEL IN THE SUN
1945,ACTRESS IN A LEADING ROLE,0,JENNIFER JONES,LOVE LETTERS
1944,ACTRESS IN A SUPPORTING ROLE,0,JENNIFER JONES,SINCE YOU WENT AWAY
1943,ACTRESS IN A LEADING ROLE,1,JENNIFER JONES,THE SONG OF BERNADETTE
2015,ACTRESS IN A LEADING ROLE,0,JENNIFER LAWRENCE,JOY
2013,ACTRESS IN A SUPPORTING ROLE,0,JENNIFER LAWRENCE,AMERICAN HUSTLE
2012,ACTRESS IN A LEADING ROLE,1,JENNIFER LAWRENCE,SILVER LININGS PLAYBOOK
2010,ACTRESS IN A LEADING ROLE,0,JENNIFER LAWRENCE,WINTER'S BONE
1994,ACTRESS IN A SUPPORTING ROLE,0,JENNIFER TILLY,BULLETS OVER BROADWAY
1990,ACTOR IN A LEADING ROLE,1,JEREMY IRONS,REVERSAL OF FORTUNE
2010,ACTOR IN A SUPPORTING ROLE,0,JEREMY RENNER,THE TOWN
2009,ACTOR IN A LEADING ROLE,0,JEREMY RENNER,THE HURT LOCKER
2010,ACTOR IN A LEADING ROLE,0,JESSE EISENBERG,THE SOCIAL NETWORK
2012,ACTRESS IN A LEADING ROLE,0,JESSICA CHASTAIN,ZERO DARK THIRTY
2011,ACTRESS IN A SUPPORTING ROLE,0,JESSICA CHASTAIN,THE HELP
1994,ACTRESS IN A LEADING ROLE,1,JESSICA LANGE,BLUE SKY
1989,ACTRESS IN A LEADING ROLE,0,JESSICA LANGE,MUSIC BOX
1985,ACTRESS IN A LEADING ROLE,0,JESSICA LANGE,SWEET DREAMS
1984,ACTRESS IN A LEADING ROLE,0,JESSICA LANGE,COUNTRY
1982,ACTRESS IN A LEADING ROLE,0,JESSICA LANGE,FRANCES
1982,ACTRESS IN A SUPPORTING ROLE,1,JESSICA LANGE,TOOTSIE
1991,ACTRESS IN A SUPPORTING ROLE,0,JESSICA TANDY,FRIED GREEN TOMATOES
1989,ACTRESS IN A LEADING ROLE,1,JESSICA TANDY,DRIVING MISS DAISY
1979,ACTRESS IN A LEADING ROLE,0,JILL CLAYBURGH,STARTING OVER
1978,ACTRESS IN A LEADING ROLE,0,JILL CLAYBURGH,AN UNMARRIED WOMAN
2001,ACTOR IN A SUPPORTING ROLE,1,JIM BROADBENT,IRIS
1955,ACTRESS IN A SUPPORTING ROLE,1,JO VAN FLEET,EAST OF EDEN
2000,ACTRESS IN A LEADING ROLE,0,JOAN ALLEN,THE CONTENDER
1996,ACTRESS IN A SUPPORTING ROLE,0,JOAN ALLEN,THE CRUCIBLE
1995,ACTRESS IN A SUPPORTING ROLE,0,JOAN ALLEN,NIXON
1951,ACTRESS IN A SUPPORTING ROLE,0,JOAN BLONDELL,THE BLUE VEIL
1952,ACTRESS IN A LEADING ROLE,0,JOAN CRAWFORD,SUDDEN FEAR
1947,ACTRESS IN A LEADING ROLE,0,JOAN CRAWFORD,POSSESSED
1945,ACTRESS IN A LEADING ROLE,1,JOAN CRAWFORD,MILDRED PIERCE
1997,ACTRESS IN A SUPPORTING ROLE,0,JOAN CUSACK,IN & OUT
1988,ACTRESS IN A SUPPORTING ROLE,0,JOAN CUSACK,WORKING GIRL
1943,ACTRESS IN A LEADING ROLE,0,JOAN FONTAINE,THE CONSTANT NYMPH
1941,ACTRESS IN A LEADING ROLE,1,JOAN FONTAINE,SUSPICION
1940,ACTRESS IN A LEADING ROLE,0,JOAN FONTAINE,REBECCA
1981,ACTRESS IN A SUPPORTING ROLE,0,JOAN HACKETT,ONLY WHEN I LAUGH
1945,ACTRESS IN A SUPPORTING ROLE,0,JOAN LORRING,THE CORN IS GREEN
1992,ACTRESS IN A SUPPORTING ROLE,0,JOAN PLOWRIGHT,ENCHANTED APRIL
1990,ACTRESS IN A LEADING ROLE,0,JOANNE WOODWARD,MR. & MRS. BRIDGE
1973,ACTRESS IN A LEADING ROLE,0,JOANNE WOODWARD,"SUMMER WISHES, WINTER DREAMS"
1968,ACTRESS IN A LEADING ROLE,0,JOANNE WOODWARD,"RACHEL, RACHEL"
1957,ACTRESS IN A LEADING ROLE,1,JOANNE WOODWARD,THE THREE FACES OF EVE
2012,ACTOR IN A LEADING ROLE,0,JOAQUIN PHOENIX,THE MASTER
2005,ACTOR IN A LEADING ROLE,0,JOAQUIN PHOENIX,WALK THE LINE
2000,ACTOR IN A SUPPORTING ROLE,0,JOAQUIN PHOENIX,GLADIATOR
1966,ACTRESS IN A SUPPORTING ROLE,0,JOCELYNE LAGARDE,HAWAII
1994,ACTRESS IN A LEADING ROLE,0,JODIE FOSTER,NELL
1991,ACTRESS IN A LEADING ROLE,1,JODIE FOSTER,THE SILENCE OF THE LAMBS
1988,ACTRESS IN A LEADING ROLE,1,JODIE FOSTER,THE ACCUSED
1976,ACTRESS IN A SUPPORTING ROLE,0,JODIE FOSTER,TAXI DRIVER
1955,ACTOR IN A SUPPORTING ROLE,0,JOE MANTELL,MARTY
1990,ACTOR IN A SUPPORTING ROLE,1,JOE PESCI,GOOD FELLAS
1980,ACTOR IN A SUPPORTING ROLE,0,JOE PESCI,RAGING BULL
1972,ACTOR IN A SUPPORTING ROLE,1,JOEL GREY,CABARET
2002,ACTOR IN A SUPPORTING ROLE,0,JOHN C. REILLY,CHICAGO
1967,ACTOR IN A SUPPORTING ROLE,0,JOHN CASSAVETES,THE DIRTY DOZEN
1945,ACTOR IN A SUPPORTING ROLE,0,JOHN DALL,THE CORN IS GREEN
1947,ACTOR IN A LEADING ROLE,0,JOHN GARFIELD,BODY AND SOUL
1938,ACTOR IN A SUPPORTING ROLE,0,JOHN GARFIELD,FOUR DAUGHTERS
1981,ACTOR IN A SUPPORTING ROLE,1,JOHN GIELGUD,ARTHUR
1964,ACTOR IN A SUPPORTING ROLE,0,JOHN GIELGUD,BECKET
2010,ACTOR IN A SUPPORTING ROLE,0,JOHN HAWKES,WINTER'S BONE
1973,ACTOR IN A SUPPORTING ROLE,1,JOHN HOUSEMAN,THE PAPER CHASE
1980,ACTOR IN A LEADING ROLE,0,JOHN HURT,THE ELEPHANT MAN
1978,ACTOR IN A SUPPORTING ROLE,0,JOHN HURT,MIDNIGHT EXPRESS
1963,ACTOR IN A SUPPORTING ROLE,0,JOHN HUSTON,THE CARDINAL
1949,ACTOR IN A SUPPORTING ROLE,0,JOHN IRELAND,ALL THE KING'S MEN
1983,ACTOR IN A SUPPORTING ROLE,0,JOHN LITHGOW,TERMS OF ENDEARMENT
1982,ACTOR IN A SUPPORTING ROLE,0,JOHN LITHGOW,THE WORLD ACCORDING TO GARP
1993,ACTOR IN A SUPPORTING ROLE,0,JOHN MALKOVICH,IN THE LINE OF FIRE
1984,ACTOR IN A SUPPORTING ROLE,0,JOHN MALKOVICH,PLACES IN THE HEART
1970,ACTOR IN A SUPPORTING ROLE,0,JOHN MARLEY,LOVE STORY
1970,ACTOR IN A SUPPORTING ROLE,1,JOHN MILLS,RYAN'S DAUGHTER
1994,ACTOR IN A LEADING ROLE,0,JOHN TRAVOLTA,PULP FICTION
1977,ACTOR IN A LEADING ROLE,0,JOHN TRAVOLTA,SATURDAY NIGHT FEVER
1969,ACTOR IN A LEADING ROLE,1,JOHN WAYNE,TRUE GRIT
1949,ACTOR IN A LEADING ROLE,0,JOHN WAYNE,SANDS OF IWO JIMA
2007,ACTOR IN A LEADING ROLE,0,JOHNNY DEPP,SWEENEY TODD THE DEMON BARBER OF FLEET STREET
2004,ACTOR IN A LEADING ROLE,0,JOHNNY DEPP,FINDING NEVERLAND
2003,ACTOR IN A LEADING ROLE,0,JOHNNY DEPP,PIRATES OF THE CARIBBEAN: THE CURSE OF THE BLACK PEARL
2001,ACTOR IN A SUPPORTING ROLE,0,JON VOIGHT,ALI
1985,ACTOR IN A LEADING ROLE,0,JON VOIGHT,RUNAWAY TRAIN
1978,ACTOR IN A LEADING ROLE,1,JON VOIGHT,COMING HOME
1969,ACTOR IN A LEADING ROLE,0,JON VOIGHT,MIDNIGHT COWBOY
2013,ACTOR IN A SUPPORTING ROLE,0,JONAH HILL,THE WOLF OF WALL STREET
2011,ACTOR IN A SUPPORTING ROLE,0,JONAH HILL,MONEYBALL
1937,ACTOR IN A SUPPORTING ROLE,1,JOSEPH SCHILDKRAUT,THE LIFE OF EMILE ZOLA
1950,ACTRESS IN A SUPPORTING ROLE,1,JOSEPHINE HULL,HARVEY
2008,ACTOR IN A SUPPORTING ROLE,0,JOSH BROLIN,MILK
1952,ACTOR IN A LEADING ROLE,0,JOSí© FERRER,MOULIN ROUGE
1950,ACTOR IN A LEADING ROLE,1,JOSí© FERRER,CYRANO DE BERGERAC
1948,ACTOR IN A SUPPORTING ROLE,0,JOSí© FERRER,JOAN OF ARC
1965,ACTRESS IN A SUPPORTING ROLE,0,JOYCE REDMAN,OTHELLO
1963,ACTRESS IN A SUPPORTING ROLE,0,JOYCE REDMAN,TOM JONES
1959,ACTRESS IN A SUPPORTING ROLE,0,JUANITA MOORE,IMITATION OF LIFE
1980,ACTOR IN A SUPPORTING ROLE,0,JUDD HIRSCH,ORDINARY PEOPLE
2003,ACTOR IN A LEADING ROLE,0,JUDE LAW,COLD MOUNTAIN
1999,ACTOR IN A SUPPORTING ROLE,0,JUDE LAW,THE TALENTED MR. RIPLEY
2013,ACTRESS IN A LEADING ROLE,0,JUDI DENCH,PHILOMENA
2006,ACTRESS IN A LEADING ROLE,0,JUDI DENCH,NOTES ON A SCANDAL
2005,ACTRESS IN A LEADING ROLE,0,JUDI DENCH,MRS. HENDERSON PRESENTS
2001,ACTRESS IN A LEADING ROLE,0,JUDI DENCH,IRIS
2000,ACTRESS IN A SUPPORTING ROLE,0,JUDI DENCH,CHOCOLAT
1998,ACTRESS IN A SUPPORTING ROLE,1,JUDI DENCH,SHAKESPEARE IN LOVE
1997,ACTRESS IN A LEADING ROLE,0,JUDI DENCH,MRS. BROWN
1940,ACTRESS IN A SUPPORTING ROLE,0,JUDITH ANDERSON,REBECCA
1992,ACTRESS IN A SUPPORTING ROLE,0,JUDY DAVIS,HUSBANDS AND WIVES
1984,ACTRESS IN A LEADING ROLE,0,JUDY DAVIS,A PASSAGE TO INDIA
1961,ACTRESS IN A SUPPORTING ROLE,0,JUDY GARLAND,JUDGMENT AT NUREMBERG
1954,ACTRESS IN A LEADING ROLE,0,JUDY GARLAND,A STAR IS BORN
1950,ACTRESS IN A LEADING ROLE,1,JUDY HOLLIDAY,BORN YESTERDAY
2013,ACTRESS IN A SUPPORTING ROLE,0,JULIA ROBERTS,AUGUST: OSAGE COUNTY
